@RELATION campuslens_complaints

@ATTRIBUTE complaint STRING
@ATTRIBUTE zone STRING
@ATTRIBUTE facility STRING
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE occupancy NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE impact NUMERIC
@ATTRIBUTE category {Network,Infrastructure,Cleanliness,Canteen,Electrical,Lab_Equipment,Water,Other}

@DATA
'broken writing desk is blocking the aisle in ts17','Labs & Research','CL3',16,42,69,2,Infrastructure
'projector in g2 switches off after ten minutes','Academic & Teaching','A2/2',8,38,48,2,Infrastructure
'network authentication fails for students around cl3','Labs & Research','CL3',9,78,55,4,Network
'classroom door and several chairs need repair on ground floor','Academic & Teaching','A2/1',11,63,59,4,Infrastructure
'two ceiling fans are not working in ts17','Hostels','CL22',12,55,63,4,Electrical
'very weak wifi signal on floor 2 of lrc','Academic & Teaching','LRC',11,100,75,4,Network
'very weak wifi signal on floor 4 of cl3','Labs & Research','CL3',10,95,96,4,Network
'three lab systems freeze during compilation in cl3','Labs & Research','CL1',13,62,20,5,Lab_Equipment
'projector hdmi port is loose in cl15','Academic & Teaching','Aryabhatt Bhawan II',16,50,64,2,Infrastructure
'very weak wifi signal on floor 1 of aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',10,85,48,5,Network
'monitor and keyboard are not detected at workstation in ff6','Labs & Research','CL3',12,78,52,2,Lab_Equipment
'garbage is overflowing in the corridor on ground floor beside the canteen queue','General & Utilities','Washrooms',17,37,73,4,Cleanliness
'laboratory equipment reports a calibration error in cl15','Labs & Research','CL22',13,37,51,2,Lab_Equipment
'classroom door and several chairs need repair on floor 4 this happens repeatedly','Labs & Research','A2/2',9,59,58,1,Infrastructure
'washroom near g2 has not been cleaned today','General & Utilities','Aryabhatt Bhawan III',17,73,94,1,Cleanliness
'monitor and keyboard are not detected at workstation in cl15','Labs & Research','CL22',14,56,66,2,Lab_Equipment
'internet disconnects repeatedly during the lecture in cl15','Academic & Teaching','Aryabhatt Bhawan II',9,100,44,5,Network
'water is leaking into the corridor on floor 4','Hostels','Girls Hostel',17,54,41,3,Water
'signage is missing for cl15 on floor 2','General & Utilities','Parking',18,77,38,5,Other
'three lab systems freeze during compilation in g2','Labs & Research','CL15',16,38,50,3,Lab_Equipment
'air conditioner stops cooling after noon on floor 4','Academic & Teaching','A2/1',11,25,65,2,Electrical
'internet disconnects repeatedly during the lecture in ts17 while the wifi is also unstable','Labs & Research','LRC',10,72,50,3,Network
'internet disconnects repeatedly during the lecture in cl15','Labs & Research','Aryabhatt Bhawan II',12,62,43,1,Network
'floor near aryabhatt bhawan iii is dirty and slippery','General & Utilities','Aryabhatt Bhawan III',16,66,44,4,Cleanliness
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',12,65,57,1,Canteen
'classroom door and several chairs need repair on floor 4','Labs & Research','Aryabhatt Bhawan II',10,63,38,3,Infrastructure
'broken writing desk is blocking the aisle in ts17','Labs & Research','CL3',16,32,55,4,Infrastructure
'signage is missing for ts17 on floor 4','Administration','Administration Block',14,42,44,3,Other
'low water pressure reported around swimming pool please fix urgently','General & Utilities','Swimming Pool',15,25,61,2,Canteen
'student common area is overcrowded after 10 00','General & Utilities','Parking',10,76,50,3,Other
'food counter is overcrowded between 13 00 and 15 00','Food','Cafeteria / Canteen',13,56,42,3,Canteen
'lights flicker repeatedly inside cl15','Hostels','H5 Boys Hostel',15,65,66,4,Electrical
'food counter is overcrowded between 13 00 and 15 00 near a water cooler','Food','Annapurna / Main Mess',13,61,46,1,Canteen
'computer fails to boot during practical class in cl15','Labs & Research','ECE Labs',15,30,43,3,Lab_Equipment
'unclassified campus issue reported around auditorium','Administration','Auditorium',15,67,60,4,Other
'two ceiling fans are not working in ts17 after a power interruption','Labs & Research','A2/1',12,63,72,2,Electrical
'food counter is overcrowded between 12 00 and 14 00 while the wifi is also unstable','Food','Annapurna / Main Mess',12,95,42,2,Canteen
'waiting time at annapurna / main mess is more than twenty minutes','Food','Annapurna / Main Mess',13,63,64,1,Canteen
'two ceiling fans are not working in g2','Hostels','CL22',9,86,67,4,Electrical
'classroom door and several chairs need repair on floor 2','Labs & Research','Aryabhatt Bhawan II',18,48,59,3,Infrastructure
'internet disconnects repeatedly during the lecture in cs1','Academic & Teaching','LRC',9,76,46,1,Network
'canteen queue is very long at 12 00 with one counter open students cannot continue class','Food','Annapurna / Main Mess',12,72,54,2,Canteen
'projector in cl22 switches off after ten minutes','Labs & Research','A2/2',15,60,24,3,Other
'very weak wifi signal on ground floor of aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',14,82,78,2,Network
'spill outside cr425 creates a safety hazard','Academic & Teaching','H4 Boys Hostel',14,60,71,2,Cleanliness
'wifi becomes extremely slow near cl3 between 10 00 and 12 00','Library & Study','CL15',10,73,86,1,Network
'lights flicker repeatedly inside g2 while the wifi is also unstable','Academic & Teaching','H5 Boys Hostel',17,59,62,1,Electrical
'waiting time at annapurna / main mess is more than twenty minutes','Food','Annapurna / Main Mess',12,100,85,4,Canteen
'laboratory equipment reports a calibration error in cl22','Labs & Research','CL3',9,46,59,2,Lab_Equipment
'network authentication fails for students around cl15','Academic & Teaching','CL15',14,37,46,3,Network
'waiting time at annapurna / main mess is more than twenty minutes please fix urgently beside the canteen queue','Food','Annapurna / Main Mess',12,87,55,4,Canteen
'water point near swimming pool is not operational','Hostels','Swimming Pool',17,33,75,1,Water
'classroom door and several chairs need repair on floor 1','Academic & Teaching','Aryabhatt Bhawan II',18,29,20,3,Infrastructure
'lights flicker repeatedly inside cl3 after a power interruption','Hostels','A2/1',16,63,74,4,Electrical
'broken writing desk is blocking the aisle in ts17','Academic & Teaching','A2/2',16,40,55,2,Infrastructure
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',14,74,57,4,Canteen
'laboratory equipment reports a calibration error in cl3','Labs & Research','ECE Labs',17,46,45,3,Lab_Equipment
'food counter is overcrowded between 14 00 and 16 00 and the room is overcrowded','Food','Cafeteria / Canteen',14,83,53,3,Canteen
'wifi becomes extremely slow near cs1 between 10 00 and 12 00 this happens repeatedly after a power interruption','Academic & Teaching','CL3',10,69,36,2,Network
'three lab systems freeze during compilation in cl3','Labs & Research','ECE Labs',18,72,72,2,Lab_Equipment
'projector hdmi port is loose in ff6','Academic & Teaching','CL3',16,31,37,1,Infrastructure
'monitor and keyboard are not detected at workstation in cr425','Labs & Research','CL22',9,57,60,1,Lab_Equipment
'very weak wifi signal on floor 4 of lrc','Library & Study','LRC',11,72,37,3,Network
'three lab systems freeze during compilation in cl22','Labs & Research','CL15',9,53,54,2,Lab_Equipment
'laboratory equipment reports a calibration error in g2','Labs & Research','CL22',15,51,64,2,Lab_Equipment
'three lab systems freeze during compilation in cr425 beside the canteen queue','Labs & Research','CL15',17,74,48,5,Lab_Equipment
'broken writing desk is blocking the aisle in cs1 this happens repeatedly','Academic & Teaching','A2/2',8,56,27,2,Cleanliness
'network authentication fails for students around cl3 near a water cooler','Academic & Teaching','CL3',9,65,59,1,Network
'food counter is overcrowded between 14 00 and 16 00','Food','Cafeteria / Canteen',14,99,51,3,Canteen
'internet disconnects repeatedly during the lecture in ff6','Academic & Teaching','CL3',9,63,65,2,Network
'broken writing desk is blocking the aisle in cl15','Labs & Research','A2/1',8,49,59,2,Electrical
'food counter is overcrowded between 12 00 and 14 00','Food','Annapurna / Main Mess',12,63,20,3,Canteen
'projector hdmi port is loose in cl3','Labs & Research','A2/1',13,32,28,2,Infrastructure
'network authentication fails for students around cl3 and the room is overcrowded','Library & Study','CL3',9,57,41,4,Network
'wifi becomes extremely slow near cr425 between 12 00 and 14 00','Academic & Teaching','CL15',12,71,70,4,Network
'internet disconnects repeatedly during the lecture in cl15','Labs & Research','CL15',12,82,53,1,Network
'network authentication fails for students around cl15 near a water cooler','Academic & Teaching','CL15',9,64,70,3,Network
'two ceiling fans are not working in cl3','Academic & Teaching','H5 Boys Hostel',14,60,86,2,Electrical
'network authentication fails for students around cl3','Labs & Research','CL3',10,99,53,5,Network
'network authentication fails for students around aryabhatt bhawan ii beside the canteen queue','Labs & Research','Aryabhatt Bhawan II',12,18,23,1,Network
'unclassified campus issue reported around parking','Sports & Recreation','Parking',16,46,69,2,Other
'broken writing desk is blocking the aisle in cl15 students cannot continue class','Academic & Teaching','CL3',11,68,46,2,Infrastructure
'food counter is overcrowded between 13 00 and 15 00','Food','Annapurna / Main Mess',13,81,38,2,Canteen
'spill outside cr425 creates a safety hazard after a power interruption','Academic & Teaching','H4 Boys Hostel',13,21,56,4,Cleanliness
'wifi becomes extremely slow near cl22 between 11 00 and 13 00','Labs & Research','CL3',11,55,90,3,Network
'two ceiling fans are not working in cl3','Academic & Teaching','H5 Boys Hostel',8,56,63,3,Electrical
'computer fails to boot during practical class in cr425','Labs & Research','CL3',13,38,72,2,Lab_Equipment
'low water pressure reported around swimming pool students cannot continue class','Hostels','Swimming Pool',15,87,73,2,Water
'food counter is overcrowded between 13 00 and 15 00','Food','Annapurna / Main Mess',13,74,70,2,Canteen
'billing queue reaches the stairwell near cafeteria / canteen and the room is overcrowded','Food','Cafeteria / Canteen',13,80,28,3,Canteen
'computer fails to boot during practical class in cl22','Labs & Research','ECE Labs',14,53,42,1,Lab_Equipment
'internet disconnects repeatedly during the lecture in ts17','Library & Study','CL3',12,81,43,3,Network
'very weak wifi signal on floor 3 of aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',10,77,62,1,Network
'computer fails to boot during practical class in cs1 students cannot continue class','Labs & Research','CL15',11,75,46,5,Lab_Equipment
'internet disconnects repeatedly during the lecture in ts17','Academic & Teaching','CL3',11,71,41,5,Network
'internet disconnects repeatedly during the lecture in cl15','Library & Study','Aryabhatt Bhawan II',14,74,42,3,Network
'low water pressure reported around water cooler','Sports & Recreation','Water cooler',15,75,74,4,Water
'floor near washrooms is dirty and slippery','Hostels','Washrooms',12,74,81,2,Cleanliness
'spill outside g2 creates a safety hazard','Academic & Teaching','H4 Boys Hostel',16,62,40,2,Cleanliness
'parking congestion blocks the entrance near main gate','Sports & Recreation','Main Gate',10,59,25,4,Other
'network authentication fails for students around cl15 students cannot continue class beside the canteen queue','Labs & Research','CL15',9,60,80,5,Network
'waiting time at annapurna / main mess is more than twenty minutes','Food','Annapurna / Main Mess',14,78,57,4,Canteen
'classroom door and several chairs need repair on floor 1','Academic & Teaching','Aryabhatt Bhawan II',12,47,43,2,Infrastructure
'projector in cr425 switches off after ten minutes students cannot continue class','Academic & Teaching','CL3',10,32,67,2,Infrastructure
'three lab systems freeze during compilation in cl15 while the wifi is also unstable','Labs & Research','ECE Labs',13,53,26,2,Lab_Equipment
'food counter is overcrowded between 14 00 and 16 00','Food','Annapurna / Main Mess',14,77,60,3,Canteen
'canteen queue is very long at 13 00 with one counter open','Food','Annapurna / Main Mess',13,67,76,1,Canteen
'three lab systems freeze during compilation in ts17','Labs & Research','CL1',16,58,61,2,Lab_Equipment
'three lab systems freeze during compilation in cs1','Labs & Research','ECE Labs',10,31,63,1,Lab_Equipment
'laboratory equipment reports a calibration error in ts17 this happens repeatedly near a water cooler','Labs & Research','ECE Labs',9,57,40,4,Lab_Equipment
'washroom near g2 has not been cleaned today while the wifi is also unstable','General & Utilities','Aryabhatt Bhawan III',15,66,57,2,Cleanliness
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',13,100,43,4,Infrastructure
'projector hdmi port is loose in cl15','Academic & Teaching','Aryabhatt Bhawan II',10,70,30,3,Infrastructure
'lights flicker repeatedly inside cl15','Academic & Teaching','H5 Boys Hostel',10,60,96,1,Electrical
'projector in cl22 switches off after ten minutes','Labs & Research','A2/1',14,53,51,4,Infrastructure
'monitor and keyboard are not detected at workstation in cr425','Labs & Research','CL15',15,51,42,2,Lab_Equipment
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',14,68,72,5,Canteen
'wifi becomes extremely slow near cl22 between 9 00 and 11 00 beside the canteen queue','Labs & Research','Aryabhatt Bhawan II',9,64,66,5,Network
'lights flicker repeatedly inside ts17','Academic & Teaching','H5 Boys Hostel',8,27,64,2,Electrical
'network authentication fails for students around cl15','Library & Study','CL15',14,52,64,4,Network
'internet disconnects repeatedly during the lecture in ts17','Library & Study','CL3',14,76,53,5,Network
'network authentication fails for students around lrc','Academic & Teaching','LRC',10,63,50,3,Water
'computer fails to boot during practical class in ff6','Labs & Research','CL3',9,46,35,3,Lab_Equipment
'wifi becomes extremely slow near cl15 between 14 00 and 16 00 this happens repeatedly after a power interruption','Labs & Research','CL3',14,84,52,3,Network
'classroom door and several chairs need repair on floor 2','Academic & Teaching','A2/2',18,5,51,2,Infrastructure
